label,sentence
4,"A stirring, funny and finally transporting re-imagining of Beauty and the Beast and 1930s horror films"
1,Apparently reassembled from the cutting-room floor of any given daytime soap.
1,"They presume their audience won't sit still for a sociology lesson, however entertainingly presented, so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes."
2,The entire movie is filled with deja vu moments.
3,"This is a visually stunning rumination on love, memory, history and the war between art and commerce."
2,"Um, no."
3,Jonathan Parker's Bartleby should have been the be-all-end-all of the modern-office anomie films.
3,Campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful.
1,A fan film that for the uninitiated plays better on video with the sound turned down.
4,"Béart and Berling are both superb, while Huppert ... is magnificent."
1,"A little less extreme than in the past, with longer exposition sequences between them, and with fewer gags to break the tedium."
1,The film is strictly routine.
3,A lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world.
1,The most repugnant adaptation of a classic text since Roland Joffé and Demi Moore's The Scarlet Letter.
1,"For something as splendid-looking as this particular film, the viewer expects something special but instead gets (sci-fi) rehash."
4,"This is a stunning film, a one-of-a-kind tour de force."
3,"May be more genial than ingenious, but it gets the job done."
3,"There is a freedom to watching stunts that are this crude, this fast-paced and this insane."
1,"If The Tuxedo actually were a suit, it would fit Chan like a $99 bargain-basement special."
4,"As quiet, patient and tenacious as Mr. Lopez himself, who approaches his difficult, endless work with remarkable serenity and discipline."
0,Final verdict: You've seen it all before.
1,"Blue Crush follows the formula, but throws in too many conflicts to keep the story compelling."
1,You ... get a sense of good intentions derailed by a failure to seek and strike just the right tone.
4,"A slick, engrossing melodrama."
1,A wretched movie that reduces the Second World War to one man's quest to find an old flame.
2,"Eccentric enough to stave off doldrums, Caruso's self-conscious debut is also eminently forgettable."
1,"Will undoubtedly play well in European markets, where Mr. Besson is a brand name, and in Asia, where Ms. Shu is an institution, but American audiences will probably find it familiar and insufficiently cathartic."
2,One of (Jaglom's) better efforts -- a wry and sometime bitter movie about love.
0,Lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child's interest and an adult's patience.
3,The Santa Clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be.
4,"The film is moody, oozing, chilling and heart-warming all at once...a twisting, unpredictable, cat-and-mouse thriller."
1,Too bad.
4,"A strong first act and absolutely, inescapably gorgeous, skyscraper-trapeze motion of the amazing Spider-Man."
1,Gooding offers a desperately ingratiating performance.
2,"You end up simply admiring this bit or that, this performance or that."
1,A well-intentioned effort that's still too burdened by the actor's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility.
2,"Analyze That regurgitates and waters down many of the previous film's successes, with a few new swings thrown in."
2,"There's a neat twist, subtly rendered, that could have wrapped things up at 80 minutes, but Kang tacks on three or four more endings."
3,A fun ride.
2,"What with the incessant lounge music playing in the film's background, you may mistake Love Liza for an Adam Sandler Chanukah song."
3,An edgy thriller that delivers a surprising punch.
3,'What's the Russian word for Wow!?'
2,"You might say Tykwer has done all that Heaven allows, if you wanted to make as anti-Kieslowski a pun as possible."
2,"Many shallower movies these days seem too long, but this one is egregiously short."
3,Otto-Sallies has a real filmmaker's eye.
1,Lurid and less than lucid work.
2,A portrait of an artist.
2,"Once again, the intelligence of gay audiences has been grossly underestimated, and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle."
2,"With a confrontational stance, Todd Solondz takes aim on political correctness and suburban families."
2,"Many of the effective horror elements are dampened through familiarity, (yet) are worthwhile."
1,With its parade of almost perpetually wasted characters ... Margarita feels like a hazy high that takes too long to shake.
1,"I could just feel the screenwriter at every moment 'Tap, tap, tap, tap, tapping away' on this screenplay."
4,"Overall, Cletis Tout is a winning comedy that excites the imagination and tickles the funny bone."
3,You live the mood rather than savour the story.
3,The movie is so thoughtlessly assembled.
2,"Here Polanski looks back on those places he saw at childhood, and captures them by freeing them from artefact, and by showing them heartbreakingly drably."
3,"Some Body is a shaky, uncertain film that nevertheless touches a few raw nerves."
3,"It's a very sincere work, but it would be better as a diary or documentary."
1,"While American Adobo has its heart (and its palate) in the right place, its brain is a little scattered -- ditsy, even."
4,"Unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly, your first instinct is to duck."
0,And it's a lousy one at that.
3,It's not too fast and not too slow.
3,"It's an entertaining movie, and the effects, boosted to the size of a downtown hotel, will all but take you to outer space."
3,"It is as uncompromising as it is nonjudgmental, and makes clear that a prostitute can be as lonely and needy as any of the clients."
4,Compellingly watchable.
1,"Despite some comic sparks, Welcome to Collinwood never catches fire."
2,He may have meant the Internet short Saving Ryan's Privates.
3,"Though Jackson doesn't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape, it must be said that he is an imaginative filmmaker who can see the forest for the trees."
4,"Not only does Spider-Man deliver, but I suspect it might deliver again and again."
4,It's worth taking the kids to.
2,The movie plays up the cartoon's more obvious strength of snazziness while neglecting its less conspicuous writing strength.
0,"Without Shakespeare's eloquent language, the update is dreary and sluggish."
3,"Dense, exhilarating documentary."
0,"...feels as if (there's) a choke leash around your neck so director Nick Cassavetes can give it a good, hard yank whenever he wants you to feel something."
3,Poignant if familiar story of a young person suspended between two cultures.
2,"A perfectly acceptable, perfectly bland, competently acted but by no means scary horror movie."
4,"Methodical, measured, and gently tedious in its comedy, Secret Ballot is a purposefully reductive movie -- which may be why it's so successful at lodging itself in the brain."
2,This is amusing for about three minutes.
3,"Though a touch too Arthouse 101 in its poetic symbolism, Heaven proves to be a good match of the sensibilities of two directors."
4,Superbly photographed and staged by Mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen.
3,A metaphor for a modern-day urban China searching for its identity.
3,"It's a square, sentimental drama that satisfies, as comfort food often can."
3,"The wonderfully lush Morvern Callar is pure punk existentialism, and Ms. Ramsay and her co-writer, Liana Dognini, have dramatized the Alan Warner novel, which itself felt like an answer to Irvine Welsh's book Trainspotting."
4,"Admirers of director Abel Ferrara may be relieved that his latest feature, R Xmas, marks a modest if encouraging return to form."
1,"Not once in the rush to save the day did I become very involved in the proceedings; to me, it was just a matter of 'eh.'"
0,An ugly-duckling tale so hideously and clumsily told it feels accidental.
0,Becomes a bit of a mishmash: a tearjerker that doesn't and a thriller that won't.
2,"At its worst, the movie is pretty diverting; the pity is that it rarely achieves its best."
4,Could I have been more geeked when I heard that Apollo 13 was going to be released in IMAX format?
3,"This is a very ambitious project for a fairly inexperienced filmmaker, but good actors, good poetry and good music help sustain it."
1,"More successful at relating history than in creating an emotionally complex, dramatically satisfying heroine"
4,Cho's timing is priceless.
3,Criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes My Big Fat Greek Wedding look like an apartheid drama.
3,There's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers.
4,What elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish.
2,Greengrass (working from Don Mullan's script) forgoes the larger socio-political picture of the situation in Northern Ireland in favour of an approach that throws one in the pulsating thick of a truly frightening situation.
4,Nicholson's understated performance is wonderful.
3,"The filmmakers know how to please the eye, but it is not always the prettiest pictures that tell the best story."
1,"It's unfortunate that Wallace, who wrote Gibson's Braveheart as well as the recent Pearl Harbor, has such an irrepressible passion for sappy situations and dialogue."
1,"Jackson shamefully strolls through this mess with a smug grin, inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder."
2,"Jackson tries to keep the plates spinning as best he can, but all the bouncing back and forth can't help but become a bit tedious -- even with the breathtaking landscapes and villainous varmints there to distract you from the ricocheting."
1,"... a fascinating curiosity piece -- fascinating, that is, for about ten minutes."
1,Over and over again.
4,Nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure.
1,"This Bond film goes off the beaten path, not necessarily for the better."
1,...its solemn pretension prevents us from sharing the awe in which it holds itself.
1,The drama discloses almost nothing.
1,"A sham construct based on theory, sleight-of-hand, and ill-wrought hypothesis."
4,Isabelle Huppert excels as the enigmatic Mika and Anna Mouglalis is a stunning new young talent in one of Chabrol's most intense psychological mysteries.
2,but 'Why?'
3,"Like its parade of predecessors, this Halloween is a gory slash-fest."
4,Perhaps the best sports movie I've ever seen.
0,This pathetic junk is barely an hour long.
3,"ou've got to love a Disney pic with as little cleavage as this one has, and a heroine as feisty and principled as Jane."
4,"This is a gorgeous film - vivid with color, music and life."
3,Playing a role of almost Bergmanesque intensity ... Bisset is both convincing and radiant.
1,The trappings of I Spy are so familiar you might as well be watching a rerun.
3,It treats Ana's journey with honesty that is tragically rare in the depiction of young women in film.
3,Leigh makes these lives count.
2,Igby Goes Down is one of those movies.
3,"Ambitious, unsettling psychodrama that takes full, chilling advantage of its rough-around-the-edges, low-budget constraints."
3,"The Woodman seems to have directly influenced this girl-meets-girl love story, but even more reassuring is how its makers actually seem to understand what made Allen's romantic comedies so pertinent and enduring."
3,I couldn't recommend this film more.
1,"An inexperienced director, Mehta has much to learn."
1,"You can taste it, but there's no fizz."
1,A reworking of Die Hard and Cliffhanger but it's nowhere near as exciting as either.
3,"A moving tale of love and destruction in unexpected places, unexamined lives."
3,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing.
1,Why?
1,And that is where Ararat went astray.
3,Vincent Gallo is right at home in this French shocker playing his usual bad boy weirdo role.
1,"Clockstoppers is one of those crazy, mixed-up films that doesn't know what it wants to be when it grows up."
1,"Sandra Bullock, despite downplaying her good looks, carries a little too much ain't- she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff."
3,It's mostly a pleasure to watch.
2,A bit too derivative to stand on its own as the psychological thriller it purports to be.
3,Its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing.
1,"A kilted Jackson is an unsettling sight, and indicative of his, if you will, out-of-kilter character, who rambles aimlessly through ill-conceived action pieces."
1,I didn't find much fascination in the swinging.
1,"This is no ""Waterboy!"""
4,"But the nerve-raked acting, the crackle of lines, the impressive stagings of hardware, make for some robust and scary entertainment."
2,"A witty, trenchant, wildly unsentimental but flawed look at the ins and outs of modern moviemaking."
3,Baby-faced Renner is eerily convincing as this bland blank of a man with unimaginable demons within.
2,The name says it all.
3,The kind of primal storytelling that George Lucas can only dream of.
2,It's been 20 years since 48 Hrs.
4,"Uplifting as only a document of the worst possibilities of mankind can be, and among the best films of the year."
0,The Irwins' scenes are fascinating; the movie as a whole is cheap junk and an insult to their death-defying efforts.
0,"It's a frightful vanity film that, no doubt, pays off what debt Miramax felt they owed to Benigni."
1,"He seems to want both, but succeeds in making neither."
2,"Funny, though."
3,"By turns fanciful, grisly and engagingly quixotic."
3,"The re-release of Ron Howard's Apollo 13 in the IMAX format proves absolutely that really, really, really good things can come in enormous packages."
2,"Unofficially, National Lampoon's Van Wilder is Son of Animal House."
2,"It never is, not fully."
2,It's just a little too self-satisfied.
0,"I've never seen (a remake) do anything as stomach-turning as the way Adam Sandler's new movie rapes, pillages and incinerates Frank Capra's classic..."
