label,sentence
extremely angry,How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##
extremely angry,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted 
extremely angry,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice
extremely angry,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######
extremely angry,|Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming|
extremely angry,My blood is boiling
extremely angry,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us ðŸ˜­ðŸ˜­ @__KirstyGA #raging #oldcunt
extremely angry,|@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming|
extremely angry,|@TeamShanny legit why i am so furious with him, people are such fucking idiots.|
extremely angry,How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. 
fairly angry,im so mad about power rangers. im incensed. im furious.
extremely angry,Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming
extremely angry,Bitches aggravate like what inspires you to be the biggest cunt known to man kind?
extremely angry,|Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging|
extremely angry,Fuking fuming ðŸ˜¤
extremely angry,Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that donâ€™t happen. #anger #loathing
extremely angry,@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.
extremely angry,|I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.|
extremely angry,why are people so offended by kendall he ends photo shoot like seriously shut the fuck up
extremely angry,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn 
extremely angry,Making my buddy cry !! Bitch wait for revenge ðŸ¤—ðŸ‘ŒðŸ»
extremely angry,Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult
