label,sentence
extremely fearful,I feel like I am drowning. #depression #anxiety #falure #worthless
extremely fearful,I get so nervous even thinking about talking to ****** I wanna die
extremely fearful,I lost my blinders .... #panic
extremely fearful,I feel like I am drowning. #depression  #falure #worthless
extremely fearful,This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. #frightened
extremely fearful,@mgcsartwork I nearly started crying and having a full on panic attack after tatinof bc of the crowds so I feel him
extremely fearful,I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM #fear #SingleGirlProblems
extremely fearful,@laura221b I don't think I've ever moved so fast in a panic in all my life ðŸ˜‚ Gave me such a fright ðŸ˜“
extremely fearful,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... #terrible
extremely fearful,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... 
extremely fearful,procrasting is fun until im an hour away from the time its due and i still havent finished so i have a panic attack
extremely fearful,My #anxiety is rising tonight and I'm not sure why. Sometimes I wonder if I'm a magnet for any free-floating anxiety in the universe.
extremely fearful,|Im not a #nervouswreck, Im a #nervous #pileup. #GoingCrazy #HelpMe #Insane #Antisocial|
extremely fearful,#panic Panic attack from fear of starting new medication
extremely fearful,Job interview in the afternoon #nervous #ek
extremely fearful,I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? ðŸ•· will be sneaking up on me 
extremely fearful,anxiety level- 100
extremely fearful,Wah just woke up frm a fucking nightmare
extremely fearful,I get so much PUSSY\nP - panic attacks \nU - uncontrollable anxiety \nS - suicidal fantasies \nS - sadness \nY - yearning for death
extremely fearful,Cosplaying properly for the first time on Saturday! Pretty nervous..
extremely fearful,|@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair|
extremely fearful,|Ignored broken tooth for so long, now have abscess. Need dentist but #fear makes it hard for me to go..45 and still can't go to dentist|
extremely fearful,@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous
extremely fearful,im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint
extremely fearful,|Ever been really lonely and your phone keeps blowing up, but you just canâ€™t pick it up and respond to people? #anxiety #recluse  #issues|
extremely fearful,Super shitting it about this tattoo #nervous
extremely fearful,Breaking out in hives for the first time since college finals. #anxiety sucks
extremely fearful,@tchop__StL @YouTube \nI get sick to my stomach everytime I see this video &amp; for the helicopter crew to make such comments is revolting.
extremely fearful,I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? ðŸ•· will be sneaking up on me #frightened
extremely fearful,6. 5 minutes to perform and I'm #nervous I wish these noises would stop #handicapped #annoyed
extremely fearful,I hate when people say 'I need to talk to you or we need to talk.' My anxiety immediately goes up...
extremely fearful,He replied to my comments 4 times now i'm shaking omg
extremely fearful,|Being stuck in the roof of your house provides amazing view but sheer terror of falling down, kinda like life|
extremely fearful,Just want Saturday to be over but then again I want to do good #LSAT #nervous
extremely fearful,|Im not a #nervouswreck, Im a  #pileup. #GoingCrazy #HelpMe #Insane #Antisocial|
extremely fearful,I was literally shaking getting the EKG done lol ðŸ™„
extremely fearful,@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 #horrific
extremely fearful,@officialShaky 'Operation Echoes' is gathering momentum ... #tense #nervous #feelsick #excited
extremely fearful,|#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit |
