label,sentence
extremely sad,Depression sucks! #depression
extremely sad,Feeling worthless as always #depression
extremely sad,Feeling worthless as always 
extremely sad,My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression
extremely sad,Im think ima lay in bed all day and sulk. Life is hitting me to hard rn
extremely sad,So when I try I fail... and when I don't try... I still fail... #confused and #lost
extremely sad,Extreme sadness
extremely sad,my life in one word is depressing
extremely sad,Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression
extremely sad,Feel so grim + ugly atm
extremely sad,Honestly depression is kicking my ass lately.. ðŸ˜”
extremely sad,At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression  #healingjustice
extremely sad,|After 3 idk why I start feeling so depress, sad and lonely.|
extremely sad,I sulk too much for my own good.
extremely sad,A night where depression is winning... #depression #fml #help
extremely sad,Going home is depressing
extremely sad,We can't even grieve over one black body before another one pops up due to pig brutality
extremely sad,It's a gloomy ass day
extremely sad,@Fra93_bruno wow I'm just really sadden by that. Terrible
extremely sad,My heads still in Ibiza but my body is sat at me desk at work #depressing
extremely sad,@Ashleyavitia_ don't leave me #sad
extremely sad,Depression sucks! 
extremely sad,It's been a week of awful connectivity with @TMobile no service or only 4G is not what Im paying for. #unhappy #poorservice
extremely sad,This the most depressing shit ever
extremely sad,Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n#quotes #worstenemy #depression #thinktoomuch
extremely sad,|@TMobileHelp my service is down in Cleveland, OH. What's going on? #unhappy|
extremely sad,What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing
extremely sad,When you have 15 doe run the opposite side of you ðŸ™ #depression
extremely sad,The moment of the day when you have to start to plaster a smile in your face. #depression
extremely sad,I hate when it's gloomy outside because it always gets me in a depressing mood
extremely sad,People stealing things from my work out quite the damper on my day so now I am going to wear pajamas all day
extremely sad,@FlakeJay ring ring! #depression is here
extremely sad,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable #unhappy
extremely sad,|@xBFDR yeah I'm sure it will, it's just so depressing having to talk to my parents over the phone instead of talking to them downstairs|
extremely sad,||| At home sick... ðŸŽ¼The bluesðŸŽ¼ won't cure it so I need ideas ðŸŽ¸ðŸ˜­ || #sorethroat #sick #blues #music #fallweather #carletonuniversity #ottawa|
extremely sad,I wouldn't wish anxiety and depression even on the worst of people. It's not fun. #anxiety #depression
extremely sad,sorry Main twitter im in depress
extremely sad,|@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair|
extremely sad,come to the funeral tomorrow at 12 to mourn the death of my gpa
extremely sad,|@TNFryed Jesus, you just made think that of all the Vols v fl games I've seen. I've never seen a win. #depression|
extremely sad,After spending Â£450 @Debenhams I was offered a Â£5 voucher. I asked if I could spend it at weekend? Was told 'no valid today only' #unhappy
extremely sad,Thought I had a pretty solid GPA as a kin major and now that I look at the average for dpt programs I feel even more discouraged ðŸ˜ª
extremely sad,depress ðŸ˜­
extremely sad,|Lament a \nsaddened heart,\nso far &amp; \nyet so near,\nthe years so\ntough &amp; scarred,\nthis lonesome\nroad,\nstill feared! #depression \n\n#poetry #poem|
extremely sad,Summer officially ends today. #sadness
extremely sad,Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching
extremely sad,|bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy|
extremely sad,|Oh, I should just 'get over' my #depression and 'be happy?' Don't you think I've tried that thousands of times already? You're not helping.|
extremely sad,Im really constipated. This is depressing
